2733.82,506.18,12,9,10,11,12,29,41,47,14,7,6,5,16,32,36,35,34,33,19,18,30,53
2525.05,599.21,13,12,11,10,9,12,29,28,27,23,24,28,27,26,22,21,20,19,18,30,53,0
2219.77,975.38,13,41,29,28,40,41,13,12,29,28,27,26,20,21,22,23,24,28,29,41,40,49
2247.34,970.53,13,41,29,12,11,10,9,8,7,14,15,36,35,46,44,42,43,33,19,20,21,22
2289.28,966.51,13,41,47,36,35,34,45,43,42,44,48,50,51,49,40,41,29,25,24,28,29,25
2150.26,2805.26,1,32,31,35,36,32,31,30,18,19,20,26,38,37,42,44,46,35,34,33,43,45
2316.86,961.67,13,41,47,36,15,6,5,16,15,6,7,14,13,12,29,41,13,12,11,10,9,8
2426.59,939.03,13,41,29,25,11,10,9,12,11,10,9,12,29,28,24,23,22,26,27,28,24,23
2564.48,914.79,13,41,40,28,24,25,29,12,9,10,11,25,29,41,40,28,29,12,11,25,29,41
2647.62,1390.04,13,14,47,36,15,6,7,14,47,36,35,34,33,43,45,34,35,36,15,16,32,1
2629.56,1251.17,13,14,15,16,17,4,5,6,7,8,13,14,15,6,7,8,9,10,11,12,9,10
2622.04,1224.00,13,14,15,36,35,46,45,34,33,43,45,46,44,38,26,22,21,20,26,27,39,48
2617.78,1196.32,13,14,47,36,15,16,32,36,35,46,45,34,35,46,45,34,33,19,18,52,53,0
2612.51,1140.48,13,14,7,8,9,12,29,28,40,41,13,14,15,36,35,34,33,19,18,52,53,30
2601.85,1071.29,13,14,15,16,5,6,15,14,13,12,11,25,29,28,27,26,38,39,48,44,38,39
3078.43,834.16,13,8,7,6,15,36,35,46,44,48,50,51,49,48,39,40,41,29,12,11,10,9
2636.64,3229.39,1,2,17,16,5,6,7,8,9,12,11,10,9,12,11,10,9,12,13,41,40,28
2843.06,869.46,13,8,7,6,15,16,17,4,3,2,17,4,3,2,1,32,31,35,46,44,38,39
2787.68,877.77,13,8,7,14,13,12,9,10,11,12,9,10,11,12,29,41,47,49,48,44,38,39
2746.14,884.00,13,8,7,6,15,36,35,46,44,48,39,40,49,47,41,13,14,15,6,5,4,3
2676.43,891.12,13,8,9,10,11,25,29,28,27,23,24,25,29,41,47,49,48,50,51,49,40,39
2634.89,897.35,13,8,9,12,29,25,24,23,22,26,38,39,27,23,22,26,20,19,18,30,53,0
2607.69,904.77,13,8,7,14,15,36,32,1,2,17,16,15,6,7,14,47,41,40,28,24,25,29
2574.96,961.80,14,13,41,40,49,48,50,51,49,47,36,35,46,45,43,33,34,35,31,32,36,35
2595.28,1072.00,14,13,8,9,10,11,25,29,41,40,49,48,39,38,26,20,21,22,23,24,25,11
2600.54,1127.84,14,13,41,40,39,27,26,22,23,24,28,40,41,29,12,13,14,47,41,40,28,24
2645.32,1418.41,14,13,41,29,28,40,41,13,14,47,36,15,6,5,16,17,2,3,4,5,16,17
2426.73,3223.02,1,2,3,4,17,2,1,0,53,30,31,32,36,15,6,5,16,15,6,7,8,13
2142.08,1394.33,14,47,41,40,28,24,23,22,21,20,19,33,43,42,44,38,26,20,19,33,43,42
2169.96,1396.98,14,47,41,13,12,29,25,24,23,27,28,40,39,38,26,20,21,22,23,24,28,29
2337.21,1412.87,14,47,41,40,28,27,26,20,19,33,43,42,44,38,39,27,28,29,25,11,12,13
2615.96,1439.35,14,47,41,40,39,27,23,24,28,27,39,40,41,47,49,48,50,51,49,48,44,38
2693.35,1669.94,14,15,6,7,14,47,41,40,49,47,36,35,34,33,30,18,19,20,26,38,37,42
2689.17,1642.26,14,15,6,5,4,17,16,5,4,3,2,1,0,31,32,36,35,46,45,34,33,43
2868.40,1401.83,14,7,8,13,12,9,8,7,6,15,16,5,6,15,36,35,34,45,43,42,44,48
2659.07,1486.98,15,14,7,6,5,16,32,36,47,14,7,6,5,16,32,31,35,36,47,49,48,50
2663.25,1514.67,15,14,7,6,5,16,17,2,1,0,31,30,53,52,18,19,20,26,27,39,40,49
2690.39,1694.63,15,14,7,6,5,4,3,2,1,0,31,30,33,34,45,43,42,37,38,44,48,50
2160.85,3214.96,1,2,3,4,17,2,3,4,5,16,32,36,47,14,15,36,35,31,30,53,0,1
2141.66,1749.18,15,36,47,14,13,41,47,49,48,44,38,37,42,43,45,34,33,43,42,44,46,35
2239.51,1743.76,15,36,47,14,13,41,47,49,48,44,46,35,31,30,33,34,35,46,45,34,33,19
2337.54,1741.63,15,36,35,31,32,1,0,31,32,16,15,14,7,6,15,36,32,31,0,1,32,16
2477.14,1730.58,15,36,47,49,51,50,48,49,40,41,47,49,48,39,27,28,24,25,29,28,24,25
2491.30,1733.10,15,36,32,16,17,2,1,32,16,17,4,5,6,7,8,13,12,11,25,24,23,22
2547.21,1730.00,15,36,35,31,0,1,32,16,17,4,3,2,1,0,53,30,31,32,36,47,14,7
2673.02,1723.03,15,36,32,1,2,3,4,5,16,32,36,35,31,30,18,19,33,43,42,37,38,26
2712.32,2145.27,15,16,32,1,0,53,52,18,19,20,26,22,23,24,25,11,12,13,14,47,36,15
2710.32,2089.31,15,16,32,1,0,53,30,33,34,35,36,47,14,13,8,7,14,13,8,9,10,11
2709.83,2075.32,15,16,32,36,47,49,40,39,27,26,20,19,18,30,53,0,31,32,1,2,3,4
2873.22,2996.87,2,17,16,32,36,47,14,7,8,9,10,11,12,9,8,7,6,5,16,17,4,3
